Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-05-14;112,28;114,04;112,14;114,04;1.458.905;165.319.138
2021-05-13;110,78;112,64;109,10;112,16;1.858.300;206.486.772
2021-05-12;112,54;113,46;111,86;112,56;2.242.139;252.576.508
2021-05-11;114,20;114,86;111,64;113,26;2.977.716;336.223.751
2021-05-10;116,16;116,42;114,66;115,60;1.687.179;195.006.523
2021-05-07;117,06;117,64;116,32;117,36;1.663.545;194.808.192
2021-05-06;114,98;116,70;114,80;116,42;2.024.213;235.162.474
2021-05-05;114,36;116,10;114,12;115,84;2.083.805;240.595.133
2021-05-04;116,86;117,08;112,68;112,74;3.430.206;391.996.656
2021-05-03;116,80;117,80;116,02;116,62;1.435.439;167.934.684
2021-04-30;118,30;118,52;116,76;116,76;2.305.231;270.512.589
2021-03-11;103,84;106,52;103,84;105,86;3.000.133;317.406.666
2021-03-10;105,94;106,52;105,08;105,82;2.454.844;259.699.466
2021-03-09;104,84;107,38;104,02;106,00;3.782.972;400.809.385
2021-03-08;102,50;105,14;101,72;104,66;3.353.179;348.323.477
2021-03-05;101,90;102,84;101,12;101,78;2.686.348;273.788.996
2021-03-04;102,00;103,66;101,64;102,68;2.374.159;243.750.500
2021-03-03;103,88;104,56;102,12;103,10;2.863.412;295.146.453
2021-03-02;103,34;104,78;102,88;103,50;2.283.786;237.151.978
2021-03-01;103,32;104,18;102,24;103,36;2.424.029;250.161.075
2021-02-26;101,00;103,32;100,54;102,06;3.570.702;364.901.364
2021-02-25;104,70;104,84;102,18;102,72;2.288.703;235.636.711
2021-02-24;102,34;103,60;102,18;103,22;1.945.024;200.364.893
2021-02-23;103,78;103,86;100,46;102,90;3.507.205;358.666.508
2021-02-22;104,00;104,50;102,92;103,90;2.407.163;249.722.727
2021-02-19;106,28;106,46;104,76;104,94;3.084.644;325.342.645
2021-02-18;104,16;106,24;104,12;106,24;3.010.056;317.208.409
2021-02-17;107,60;107,64;104,22;104,42;3.723.507;392.153.739
2021-02-16;109,00;109,00;107,90;108,34;1.671.300;181.124.626
2021-02-15;109,06;109,18;108,28;108,84;1.397.921;152.099.298
2021-04-29;119,10;119,80;117,52;118,04;1.917.209;227.161.899
2021-04-28;117,76;119,36;117,44;118,76;1.660.706;196.778.507
2021-04-27;118,38;119,40;117,92;118,04;1.574.816;186.590.460
2021-04-26;119,20;119,98;117,96;118,52;1.524.024;180.819.680
2021-04-23;120,10;120,72;117,36;119,42;2.968.949;353.558.348
2021-04-22;118,00;121,00;117,14;120,70;3.902.763;466.193.924
2021-04-21;115,00;116,70;114,08;116,70;2.260.736;262.096.227
2021-04-20;115,70;116,16;114,80;115,34;2.062.980;238.150.643
2021-04-19;116,22;116,52;115,08;116,04;1.763.933;204.531.034
2021-04-16;115,84;116,26;114,88;116,22;2.905.150;336.503.269
2021-04-15;114,40;116,26;113,70;115,68;2.804.809;323.835.651
2021-04-14;115,00;118,00;113,30;113,40;4.974.419;574.465.863
2021-04-13;111,06;112,46;110,70;112,16;1.938.263;216.716.513
2021-04-12;112,30;112,36;110,88;111,24;1.718.755;191.464.278
2021-04-09;111,54;112,38;110,48;112,30;2.369.418;264.781.553
2021-04-08;109,50;111,98;109,16;111,10;2.867.753;317.855.161
2021-04-07;108,70;109,50;107,88;109,36;2.120.500;231.206.763
2021-04-06;109,58;109,88;108,14;108,90;3.124.199;340.450.247
2021-04-01;104,96;107,14;104,70;106,78;2.751.618;292.605.682
2021-03-31;103,20;104,44;103,12;104,42;2.311.988;240.857.121
2021-03-30;103,90;104,10;103,24;103,56;2.187.648;226.603.662
2021-03-29;103,48;104,34;102,98;104,30;2.363.532;245.604.754
2021-03-26;102,78;103,38;102,32;102,88;1.856.833;191.057.961
2021-03-25;102,40;103,14;101,80;102,46;2.657.133;272.073.998
2021-03-24;103,24;104,18;102,44;102,82;2.270.733;233.837.016
2021-03-23;102,00;103,70;101,42;103,06;3.066.444;314.701.256
2021-03-22;102,98;103,80;101,98;103,50;2.650.789;273.313.486
2021-03-19;102,78;103,64;102,50;103,60;6.109.000;631.289.189
2021-03-18;102,90;103,70;102,44;102,76;3.138.312;322.835.703
2021-03-17;103,12;103,50;102,26;103,00;2.448.739;251.840.845
2021-03-16;103,20;103,56;102,52;103,02;2.245.723;231.268.236
2021-03-15;103,22;103,42;102,44;102,66;2.270.453;233.516.370
2021-03-12;105,98;105,98;103,04;103,04;3.164.384;328.711.089
2021-02-12;108,54;108,80;107,78;108,56;1.944.941;210.616.121
2021-02-11;107,40;109,50;107,10;109,50;2.086.083;227.154.248
2021-02-10;108,68;108,68;106,42;107,28;2.256.363;242.710.514
2021-02-09;108,96;109,22;107,82;108,88;1.636.590;177.808.855
2021-02-08;109,16;109,80;108,68;108,96;1.738.462;189.699.983
2021-02-05;110,96;110,96;108,24;108,48;2.471.257;269.634.020
2021-02-04;108,20;110,70;108,08;110,28;2.638.688;289.526.721
2021-02-03;108,50;109,44;107,90;108,76;2.555.557;277.733.245
2021-02-02;107,60;108,56;107,58;108,26;2.729.353;295.172.335
2021-02-01;106,00;108,12;105,50;107,04;2.940.295;314.738.128
2021-01-29;108,20;109,04;104,80;104,80;4.982.821;527.458.457
2021-01-28;108,30;109,02;106,12;108,30;3.390.381;365.752.287
2021-01-27;110,84;111,94;108,12;109,64;4.689.464;516.194.058
2021-01-26;105,82;110,00;105,46;109,98;4.297.991;467.756.524
2021-01-25;105,16;105,74;103,80;105,52;3.204.268;336.477.738
2021-01-22;104,44;104,80;103,12;104,70;2.571.192;267.681.782
2021-01-21;105,50;106,06;104,54;104,92;2.136.404;224.584.454
2021-01-20;105,00;105,48;104,12;104,86;2.631.285;275.759.537
2021-01-19;104,10;104,44;103,24;103,90;2.676.831;278.201.458
2021-01-18;103,06;104,04;102,70;103,24;2.176.600;224.910.078
2021-01-15;105,00;106,76;102,86;103,52;5.733.895;598.371.718
2021-01-14;105,16;105,42;103,48;104,20;3.522.890;367.351.248
2021-01-13;105,78;106,04;104,46;105,36;2.650.567;279.230.760
2021-01-12;106,50;106,94;105,64;105,74;2.349.072;249.283.214
2021-01-11;106,30;106,74;105,00;106,04;2.910.670;308.709.572
2021-01-08;105,14;106,72;105,04;106,18;3.068.744;325.837.433
2021-01-07;105,58;105,70;104,04;104,52;3.176.143;332.189.138
2021-01-06;105,14;106,26;103,60;105,48;3.018.802;317.015.932
2021-01-05;104,98;106,20;104,46;105,04;2.798.888;294.607.744
2021-01-04;108,10;108,50;104,78;105,32;2.928.515;312.361.847
2020-12-30;106,94;107,68;106,58;107,22;1.526.766;163.830.799
2020-12-29;107,00;107,94;106,66;106,80;2.479.039;265.811.527
2020-12-28;105,10;106,12;104,66;105,26;2.057.725;216.805.281
2020-12-23;104,08;104,20;103,22;103,76;1.628.435;168.998.221
2020-12-22;102,10;103,96;101,90;103,62;2.628.214;271.912.384
2020-12-21;102,06;102,52;100,08;101,46;3.958.655;401.943.186
2020-12-18;105,08;106,28;103,38;104,26;11.530.301;1.207.447.292
2020-12-17;103,54;105,08;103,00;105,00;4.064.972;424.909.295
2020-12-16;101,14;102,80;100,48;102,80;3.282.115;335.394.021
2020-12-15;100,46;101,46;100,10;100,68;2.635.245;265.864.689
2020-12-14;100,20;100,56;98,69;99,93;3.244.975;323.481.875
2020-12-11;101,22;101,22;99,07;99,75;2.898.929;289.590.849
2020-12-10;102,00;102,46;99,72;101,18;3.176.748;321.142.569
2020-12-09;102,72;103,60;102,02;102,08;3.008.739;308.978.660
2020-12-08;101,70;102,08;101,04;102,08;2.271.543;230.954.371
2020-12-07;102,80;102,80;101,12;101,72;2.416.933;245.850.084
2020-12-04;101,00;102,82;100,78;102,78;2.577.941;263.548.195
2020-12-03;101,60;101,90;99,98;100,90;2.525.876;254.110.069
2020-12-02;101,58;102,12;100,82;101,30;2.366.829;239.987.009
2020-12-01;102,40;102,60;101,22;101,22;3.321.058;338.198.678
2020-11-30;100,00;101,98;99,94;101,98;6.755.003;686.603.389
2020-11-27;100,00;100,74;99,82;100,14;3.031.566;303.897.629
2020-11-26;99,40;100,52;99,07;99,54;2.528.429;252.286.137
2020-11-25;98,00;98,98;97,50;98,68;3.385.039;333.030.183
2020-11-24;99,31;99,36;97,35;97,35;3.815.389;374.751.598
2020-11-23;99,30;99,88;98,28;98,28;3.211.568;317.832.893
2020-11-20;99,52;99,63;98,75;98,80;3.909.221;387.157.382
2020-11-19;99,89;100,04;99,00;99,42;2.786.093;277.276.789
2020-11-18;98,56;100,68;98,32;100,00;3.200.979;319.236.618
2020-11-17;100,36;100,64;98,05;98,53;3.743.907;370.561.100
2020-11-16;102,40;102,92;100,28;100,28;3.911.790;396.690.812
2020-11-13;100,32;102,56;100,12;101,22;3.047.022;309.111.089
2020-11-12;101,00;102,14;100,24;100,28;3.102.238;313.141.742
2020-11-11;99,80;101,84;99,70;101,52;3.926.755;396.722.445
2020-11-10;99,88;101,46;98,44;99,09;5.525.046;550.227.632
2020-11-09;99,77;103,34;98,37;98,97;8.836.477;884.948.851
2020-11-06;97,50;98,80;95,96;97,25;4.410.580;428.818.645
2020-11-05;98,70;99,80;97,55;98,21;6.031.481;594.383.407
2020-11-04;93,28;97,04;93,11;96,75;5.385.873;513.557.509
2020-11-03;91,23;94,43;90,56;93,95;5.304.596;492.279.208
2020-11-02;92,20;92,55;89,93;90,18;6.750.240;614.666.746
2020-10-30;92,65;93,71;90,65;91,49;6.772.568;622.916.787
2020-10-29;92,48;94,17;90,70;93,26;8.118.477;749.776.864
2020-10-21;127,94;127,98;124,84;124,92;2.433.244;305.190.090
2020-10-20;130,78;131,34;127,54;127,54;1.948.091;250.534.088
2020-10-19;133,16;134,34;131,00;131,00;1.413.353;186.579.610
2020-10-16;131,20;134,10;130,56;132,84;1.982.619;262.552.209
2020-10-15;132,58;133,16;129,52;130,56;2.092.833;273.577.295
2020-10-14;134,42;135,62;133,96;134,32;1.168.173;157.223.487
2020-10-13;134,30;134,70;132,78;134,08;1.326.801;177.579.229
2020-10-12;133,50;134,64;132,64;134,38;1.157.483;155.115.145
2020-10-09;132,34;133,08;131,12;133,06;1.506.407;199.436.406
2020-10-28;96,95;97,16;91,91;92,24;11.914.772;1.114.863.874
2020-10-27;100,00;101,24;96,84;96,95;14.314.818;1.417.143.785
2020-10-26;100,00;105,40;96,34;97,50;22.200.336;2.220.182.744
2020-10-23;124,50;125,32;124,08;124,90;1.746.267;217.970.617
2020-10-22;124,28;124,80;122,60;124,50;2.360.335;292.579.842
2020-10-08;131,22;132,82;130,72;132,34;1.563.472;206.432.341
2020-10-07;131,90;131,98;129,48;130,38;1.654.910;216.142.800
2020-10-06;132,86;132,86;130,72;131,46;1.379.980;181.586.423
2020-10-05;133,12;133,50;131,50;132,40;1.229.708;162.606.265
2020-10-02;132,10;133,54;131,50;132,76;1.417.115;187.919.132
2020-10-01;134,44;134,56;132,44;133,74;1.575.372;210.283.672
2020-09-30;133,00;134,16;131,58;132,76;1.911.468;254.142.369
2020-09-29;133,92;134,38;133,08;134,16;1.286.122;172.272.207
2020-09-28;130,98;134,86;130,36;134,66;2.404.084;321.380.264
2020-09-25;131,92;131,96;127,20;129,96;2.232.956;289.425.075
2020-09-24;130,64;132,20;129,72;131,96;1.784.629;234.463.191
2020-09-23;134,26;134,84;132,00;132,00;1.486.774;197.595.738
2020-09-22;132,04;133,88;132,04;132,50;2.181.539;289.667.788
2020-09-21;135,00;135,54;130,44;131,00;2.611.450;344.149.023
2020-09-18;135,30;138,12;135,06;135,50;6.750.513;920.432.138
2020-09-17;133,44;136,36;133,12;135,52;1.575.107;213.035.374
2020-09-16;136,46;137,64;135,10;135,96;1.639.969;223.311.277
2020-09-15;135,98;136,34;134,92;135,28;1.378.521;186.613.222
2020-09-14;136,72;137,30;135,10;135,56;1.090.646;148.059.260
2020-09-11;136,50;136,90;134,04;135,50;1.558.938;211.088.035
2020-09-10;138,34;138,48;135,36;136,02;1.567.887;214.112.204
2020-09-09;132,66;137,92;132,52;137,52;1.936.110;263.699.708
2020-09-08;136,50;136,68;131,88;133,44;2.137.498;285.772.055
2020-09-07;133,84;137,00;133,42;136,82;1.212.227;164.714.738
2020-09-04;135,38;137,38;130,48;132,86;3.145.260;421.521.252
2020-09-03;142,44;143,32;136,36;137,32;2.355.908;329.359.456
2020-09-02;140,26;142,40;139,40;141,50;2.284.225;323.007.056
2020-09-01;139,64;140,80;137,48;138,64;1.785.599;248.092.764
2020-08-31;140,22;140,64;137,58;138,04;1.656.416;229.483.178
2020-08-28;140,38;140,74;138,80;139,76;1.449.213;202.381.252
2020-08-27;142,74;142,88;140,08;140,36;1.504.126;212.323.198
2020-08-26;139,88;142,26;139,24;142,26;1.442.643;204.002.837
2020-08-25;139,22;140,52;138,86;139,26;1.458.054;203.568.408
2020-08-24;137,00;139,32;137,00;138,60;1.425.467;197.449.409
2020-08-21;137,50;138,00;134,70;135,80;2.025.280;276.052.508
2020-08-20;135,50;136,88;134,78;136,54;1.533.941;208.942.226
2020-08-19;135,04;137,42;134,80;136,84;1.248.577;170.618.416
2020-08-18;135,28;137,42;134,68;135,32;1.577.919;214.164.784
2020-08-17;135,00;136,38;135,00;135,66;951.666;129.189.509
2020-08-14;136,54;137,18;135,06;135,24;1.258.424;170.528.719
2020-08-13;137,48;137,84;135,84;137,12;1.432.603;196.009.212
2020-08-12;136,66;138,14;135,06;138,08;1.550.526;212.539.546
2020-08-11;135,62;138,12;134,56;137,10;2.024.722;277.485.841
2020-08-10;136,52;136,92;134,20;134,94;1.492.682;201.825.096
2020-08-07;135,46;137,48;134,90;137,22;1.527.331;208.620.572
2020-08-06;135,86;137,84;134,92;135,24;1.582.722;214.787.007
2020-08-05;136,20;137,16;135,90;136,00;1.568.042;213.901.262
2020-08-04;138,50;138,50;133,76;135,32;2.028.269;274.615.824
2020-08-03;134,54;138,16;134,30;137,54;2.374.262;325.338.968
2020-07-31;134,00;136,30;133,62;133,78;2.530.930;340.425.630
2020-07-30;139,50;139,50;132,60;133,52;2.662.433;358.424.823
2020-07-29;137,06;140,06;137,00;139,56;1.576.655;219.660.136
2020-07-28;140,60;140,72;137,00;137,76;1.923.632;265.885.756
2020-07-27;141,00;141,06;138,10;139,30;2.146.435;299.363.757
2020-07-24;136,84;137,18;134,94;135,64;2.911.843;395.720.135
2020-07-23;142,80;142,82;141,08;141,26;2.013.707;284.833.376
2020-07-22;141,52;142,76;140,64;142,24;1.497.826;212.758.734
2020-07-21;141,28;143,20;141,06;141,86;2.029.889;288.550.730
2020-07-20;136,78;139,40;135,80;139,24;1.720.263;237.938.072
2020-07-17;136,20;136,58;135,22;135,90;2.284.279;310.214.684
2020-07-16;136,08;137,02;135,36;135,46;2.111.962;287.012.325
2020-07-15;135,66;137,78;134,84;137,34;2.797.576;382.051.101
2020-07-14;134,04;134,52;131,18;133,94;2.563.924;341.123.005
2020-07-13;137,08;138,16;135,76;137,52;2.162.648;296.590.686
2020-07-10;134,52;135,56;133,60;135,04;2.106.071;283.844.007
2020-07-09;137,50;139,72;133,98;134,68;4.127.715;565.150.433
2020-07-08;127,82;129,50;127,66;128,78;1.659.263;213.410.730
2020-07-07;130,32;130,42;127,82;128,78;1.782.075;229.370.845
2020-07-06;129,68;130,80;129,00;130,72;1.962.994;255.501.010
2020-07-03;128,00;128,30;127,12;127,58;1.407.442;179.750.223
2020-07-02;125,32;127,66;124,54;127,66;2.649.799;335.830.094
2020-07-01;122,98;124,16;121,44;123,86;1.979.534;244.210.660
2020-06-30;122,72;124,46;122,18;124,32;2.438.697;301.724.363
2020-06-29;122,32;123,40;121,46;122,44;2.611.429;319.991.618
2020-06-26;122,00;125,06;121,36;122,12;2.213.330;272.312.858
2020-06-25;119,84;121,78;118,12;120,80;2.709.382;325.886.688
2020-06-24;124,14;124,58;120,10;120,10;3.178.092;386.095.806
2020-06-23;125,60;127,78;124,98;125,50;3.193.594;403.046.246
2020-06-22;121,98;125,48;121,52;124,02;2.872.553;355.759.515
2020-06-19;121,60;124,76;120,92;123,48;11.148.444;1.376.505.462
2020-06-18;120,30;122,34;119,36;120,40;3.548.641;428.256.824
2020-06-17;118,48;120,74;117,54;120,24;3.340.030;399.327.285
2020-06-16;116,00;119,82;115,30;118,82;3.929.508;464.984.986
2020-06-15;112,60;115,10;111,68;114,36;2.819.896;321.014.926
2020-06-12;115,30;118,08;113,84;115,30;3.261.941;378.116.618
2020-06-11;118,56;119,86;116,38;116,38;3.438.234;404.264.360
2020-06-10;121,40;122,38;119,94;120,46;2.326.294;281.115.856
2020-06-09;120,48;121,76;119,74;120,68;3.690.623;446.124.267
2020-06-08;120,62;120,96;118,42;120,22;2.824.410;338.240.352
2020-06-05;120,20;121,38;118,12;121,14;4.454.407;535.669.563
2020-06-04;118,58;120,60;118,02;119,60;3.330.477;397.920.164
2020-06-03;117,00;119,40;116,02;119,04;4.160.300;490.233.378
2020-06-02;116,90;117,00;112,86;115,94;4.767.770;550.435.979
2020-05-29;111,80;115,28;111,22;113,50;8.886.659;1.008.169.021
2020-05-28;111,90;113,26;110,86;112,60;2.724.151;210.972.181
2020-05-27;111,16;112,94;110,66;111,84;3.238.084;362.040.539
2020-05-26;113,40;113,54;110,60;110,98;2.903.668;324.633.569
2020-05-25;107,50;111,76;107,32;111,60;2.617.792;289.256.548
2020-05-22;104,86;106,78;104,56;106,38;2.466.986;260.708.318
2020-05-21;108,36;108,36;106,40;106,78;2.160.165;231.952.803
2020-05-20;107,78;110,54;107,54;110,20;2.928.298;320.552.172
2020-05-19;108,46;109,20;106,78;108,08;3.456.418;372.483.573
2020-05-18;106,22;108,24;105,78;107,36;3.136.204;335.756.891
2020-05-15;104,86;105,48;103,32;103,74;3.448.264;359.424.620
2020-05-14;104,42;105,28;101,80;103,90;3.940.796;408.304.992
2020-05-13;106,98;107,72;105,48;106,00;2.953.879;314.671.034
2020-05-12;106,08;107,54;105,76;106,86;2.297.826;245.423.802
2020-05-11;107,86;107,90;105,34;106,64;2.215.143;235.953.393
2020-05-08;108,04;108,32;106,94;107,74;2.425.684;260.832.907
2020-05-07;105,94;108,54;105,62;107,34;3.719.688;399.431.406
2020-05-06;107,90;108,40;104,84;105,30;3.919.584;416.177.966
2020-05-05;107,66;108,56;105,46;108,44;3.028.444;324.679.543
2020-05-04;106,20;107,28;105,28;106,88;4.430.812;472.097.420
2020-04-30;110,84;111,80;108,08;108,94;4.692.164;515.908.185
2020-04-29;109,00;109,90;107,18;109,80;2.539.753;276.140.666
2020-04-28;107,66;110,12;107,60;108,84;3.037.613;330.718.891
2020-04-27;109,00;109,50;107,16;107,80;2.106.179;227.264.301
2020-04-24;106,22;108,06;105,14;106,68;2.890.515;309.187.462
2020-04-23;108,26;109,32;106,12;108,12;2.889.458;311.029.757
2020-04-22;108,70;109,30;107,30;108,24;2.932.900;317.308.497
2020-04-21;110,50;111,38;105,56;106,28;4.127.784;447.179.783
2020-04-20;113,98;114,20;110,28;113,74;2.405.989;271.275.847
2020-04-17;113,02;114,28;112,16;113,06;4.543.809;513.945.250
2020-04-16;110,10;111,06;109,08;110,10;2.778.777;305.831.292
2020-04-15;111,50;111,62;106,82;108,30;4.296.678;467.518.433
2020-04-14;112,60;114,86;112,00;112,00;4.216.307;476.921.852
2020-04-09;107,50;111,26;105,96;110,00;5.230.324;568.239.403
2020-04-08;104,10;105,24;103,28;105,00;2.903.942;303.641.747
2020-04-07;104,86;105,60;102,32;103,68;3.640.581;378.835.751
2020-04-06;100,70;102,32;99,50;101,40;3.345.981;337.909.459
2020-04-03;96,55;97,84;96,20;97,35;2.925.187;284.032.991
2020-04-02;98,46;98,69;95,06;97,23;4.141.403;401.000.667
2020-04-01;99,50;100,66;97,22;98,10;4.154.922;409.241.948
2020-03-31;104,08;104,52;100,30;102,80;3.898.272;399.726.368
2020-03-30;101,02;102,18;99,20;102,18;3.078.636;311.502.976
2020-03-27;102,22;104,04;98,85;99,87;4.245.574;428.471.818
2020-03-26;96,55;103,96;96,50;103,96;5.820.230;590.165.377
2020-03-25;102,14;102,58;94,72;99,00;5.773.778;566.099.628
2020-03-24;97,10;99,32;95,10;99,32;6.617.752;649.268.559
2020-03-23;86,81;95,76;86,22;92,14;6.887.871;627.691.981
2020-03-20;91,65;94,52;89,00;91,26;10.777.435;984.163.158
2020-03-19;88,20;90,69;84,02;87,63;8.012.428;699.191.576
2020-03-18;89,39;90,14;85,66;89,07;7.020.653;622.046.252
2020-03-17;92,50;95,21;86,65;92,36;9.619.836;872.251.188
2020-03-16;86,52;92,66;82,13;89,76;13.189.466;1.147.758.505
